,file_name,caption_num,caption,abstract_captions
0,Distorted_AM_Radio_noise.wav,caption_1,a muddled noise of broken channel of the tv.,"[['Television static noise.', 'TV channel disturbance.', 'Electronic interference.'], ['Loud TV static changing pitch and volume.', 'Distorted television noise.', 'Unstable television signal.']]"
1,Paper_Parchment_Rustling.wav,caption_1,a person is turning a map over and over.,"[['Handling paper object.', 'Manipulating a paper item.', 'Paper-related activity.'], ['Person turning a map.', 'Carefully wrapping a gift.', 'Turning book pages.']]"
2,03_Whales_Slowing_Down.wav,caption_1,several barnyard animals mooing in a barn while it rains outside.,"[['Barnyard animals vocalizing during rainfall.', 'Whales and shrimp sounds underwater.', 'Whales communicating in the distance.'], ['Animals mooing in a rainy barn.', 'Whales and shrimp interacting underwater.', 'Whale songs over flowing water.']]"
3,Rope_tied_to_boat_in_port.wav,caption_1,an office chair is squeaking as someone bends back and forth in it.,"[['Squeaking office chair and background noise.', 'Creaky door and dog barking.', 'Gradual decrease in popping sounds.'], ['Chair noises as someone moves.', 'Door sound and barking dog.', 'Popping sounds fading away.']]"
4,carpenter_bee.wav,caption_1,a flying bee is buzzing loudly around an object and its wing hits it.,"[['Insect buzzing around an object.', 'Fly buzzing loudly.', 'Insect and bird sounds.'], ['Insect near an object creating noise.', 'Annoying insect sound.', 'Insect struggle and escape.']]"
5,121006_rain&amp;storm.wav,caption_1,"as thunder claps far in the distance, the rain pours down.","[['Distant thunder and rain pour.', 'Rain and thunder in the background.', 'Stormy weather with rainfall.'], ['Thunderstorm and heavy rain.', 'Rain pouring with thunder sounds.', 'Rain and thunder ambiance.']]"
6,Officejet_Printer.wav,caption_1,a paper printer is printing off multiple pages.,"[['Printer producing multiple pages.', 'Printing device in action.', 'Machine printing pages.'], ['Paper printing process.', 'Device printing text.', 'Printer completing tasks.']]"
7,Stockholm_subway_C20_train_departing.wav,caption_1,"a buzzer warns of departure, a air brake is released, while a roller coaster ride takes off.","[['Amusement park ride starts after a warning.', 'Air brakes release and ride accelerates.', 'Vehicle takes off after a signal.'], ['Roller coaster departure with a buzzer.', 'Horn beeps and ride begins.', 'Warning sound and high-speed motion.']]"
8,metalTunnel.wav,caption_1,a very robotic synth modulates and reverberates within itself.,"[['Robotic synth sound modulation.', 'Rhythmic reverberating instrument.', 'Workshop-like audio.'], ['Synth modulation with reverberation.', 'Iron rod cutting sound impression.', 'Rhythmic metered audio.']]"
9,Ambience_Night_crickets.wav,caption_1,a serene bit of nightfall is met by crickets chirping.,"[['Crickets chirping during nighttime.', 'Nighttime ambience with crickets.', 'Insects creating sounds at night.'], ['Crickets and a gentle breeze at night.', 'Nightfall with crickets and wind.', 'Calm evening ambience with insects.']]"
